Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Serious/critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests per 1M pop,Population,Continent
USA,"10,18,65,927","11,13,808","9,89,76,943","17,75,176","3,990","3,04,254","3,327","1,14,94,72,864","34,33,258","33,48,05,269",North America
India,"4,46,77,449","5,30,680","4,41,42,242","4,527",698,"31,762",377,"90,92,84,443","6,46,427","1,40,66,31,776",Asia
France,"3,89,71,117","1,60,747","3,76,86,052","11,24,318",869,"5,94,212","2,451","27,14,90,188","41,39,547","6,55,84,518",Europe
Germany,"3,70,88,426","1,60,246","3,63,46,100","5,82,080","1,406","4,42,142","1,910","12,23,32,384","14,58,359","8,38,83,596",Europe
Brazil,"3,59,92,620","6,92,210","3,46,63,955","6,36,455","8,318","1,67,133","3,214","6,37,76,166","2,96,146","21,53,53,593",South America
S. Korea,"2,83,90,646","31,549","2,72,30,036","11,29,061",512,"5,53,102",615,"1,58,04,065","3,07,892","5,13,29,899",Asia
Japan,"2,75,81,407","54,026","2,09,48,674","65,78,707",530,"2,19,624",430,"8,49,27,057","6,76,252","12,55,84,838",Asia
Italy,"2,48,84,034","1,83,138","2,42,15,242","4,85,654",321,"4,12,925","3,039","26,07,32,261","43,26,589","6,02,62,770",Europe
UK,"2,40,89,042","1,98,271","2,38,06,071","84,700",146,"3,51,676","2,895","52,25,26,476","76,28,357","6,84,97,907",Europe
Russia,"2,17,35,851","3,93,166","2,11,31,700","2,10,985","2,300","1,49,074","2,697","27,34,00,000","18,75,095","14,58,05,947",Europe
Turkey,"1,70,42,722","1,01,492",N/A,N/A,,"1,99,186","1,186","16,27,43,369","19,02,052","8,55,61,976",Asia
Spain,"1,36,51,239","1,16,658","1,34,44,388","90,193",339,"2,92,198","2,497","47,10,36,328","1,00,82,298","4,67,19,142",Europe
Vietnam,"1,15,23,567","43,181","1,06,10,481","8,69,905",41,"1,16,454",436,"8,58,26,548","8,67,342","9,89,53,541",Asia
Australia,"1,09,83,380","16,734","1,05,46,102","4,20,544",100,"4,21,323",642,"7,88,35,048","30,24,116","2,60,68,792",Australia/Oceania
Argentina,"98,29,236","1,30,080","95,97,167","1,01,989",248,"2,13,632","2,827","3,57,16,069","7,76,264","4,60,10,234",South America
Taiwan,"86,24,680","14,958","83,14,069","2,95,653",,"3,61,038",626,"2,89,83,590","12,13,281","2,38,88,595",Asia
Netherlands,"85,59,116","22,952","85,12,324","23,840",43,"4,97,292","1,334","2,59,84,435","15,09,718","1,72,11,447",Europe
Iran,"75,60,629","1,44,672","73,35,808","80,149",75,"87,891","1,682","5,44,20,785","6,32,632","8,60,22,837",Asia
Mexico,"71,90,702","3,30,805","64,36,684","4,23,213","4,798","54,656","2,514","1,89,42,791","1,43,983","13,15,62,772",North America
Indonesia,"67,12,826","1,60,466","65,27,952","24,408","2,771","24,049",575,"11,34,15,386","4,06,311","27,91,34,505",Asia
Poland,"63,63,329","1,18,448","53,35,940","9,08,941","1,530","1,68,611","3,139","3,79,20,919","10,04,800","3,77,39,785",Europe
Colombia,"63,30,409","1,41,996","61,50,571","37,842",342,"1,22,890","2,757","3,69,51,507","7,17,327","5,15,12,762",South America
Austria,"56,62,588","21,345","55,90,936","50,307",47,"6,24,547","2,354","20,40,39,989","2,25,04,303","90,66,710",Europe
Portugal,"55,51,364","25,643","55,13,331","12,390",61,"5,47,441","2,529","4,57,66,733","45,13,231","1,01,40,570",Europe
Greece,"55,00,737","34,614","54,43,822","22,301",115,"5,33,191","3,355","10,15,76,831","98,45,925","1,03,16,637",Europe
Ukraine,"53,50,380","1,10,696","52,30,588","9,096",,"1,23,874","2,563","3,26,03,805","7,54,855","4,31,92,122",Europe
Malaysia,"50,19,400","36,814","49,67,175","15,411",41,"1,51,273","1,109","6,69,47,409","20,17,639","3,31,81,072",Asia
Chile,"49,92,125","62,913","49,20,410","8,802",111,"2,59,329","3,268","4,74,90,182","24,66,997","1,92,50,195",South America
DPRK,"47,72,813",74,"47,72,739",0,,"1,83,636",3,,,"2,59,90,679",Asia
Israel,"47,51,175","11,973","47,27,120","12,082",57,"5,09,455","1,284","4,13,73,364","44,36,346","93,26,000",Asia
Thailand,"47,18,908","33,505","46,49,509","35,894","1,496","67,338",478,"1,72,70,775","2,46,450","7,00,78,203",Asia
Belgium,"46,64,481","33,211","45,95,731","35,539",58,"3,99,757","2,846","3,62,90,921","31,10,221","1,16,68,278",Europe
Czechia,"45,75,220","42,044","45,24,599","8,577",52,"4,26,126","3,916","5,67,32,892","52,83,974","1,07,36,784",Europe
Canada,"44,57,366","48,645","43,46,320","62,401",99,"1,16,112","1,267","6,63,43,123","17,28,207","3,83,88,419",North America
Peru,"44,24,906","2,17,941","41,12,595","94,370",133,"1,31,364","6,470","3,71,35,184","11,02,451","3,36,84,208",South America
Switzerland,"43,65,574","14,364","42,80,954","70,256",67,"4,97,579","1,637","2,31,94,219","26,43,626","87,73,637",Europe
Philippines,"40,58,465","65,142","39,76,427","16,896",162,"36,072",579,"3,39,27,044","3,01,550","11,25,08,994",Asia
